title,box_off_num
용서는 없다,3388475.033049175
아빠가 여자를 좋아해,857942.6172723006
하모니,1146023.9659255748
의형제,2162834.5005282005
평행 이론,802365.6640665149
회오리 바람,86338.40196989002
경계도시 2,127929.59324998091
이웃집 남자,122166.4704654866
아마존의 눈물 극장판,35522.40347421574
반가운 살인자,817634.4037768135
집 나온 남자들,620714.4294301404
베스트셀러,1735528.4953905009
작은 연못,1021086.1676273377
경,67237.37713479818
대한민국 1%,585099.8452665068
포화 속으로,2330230.920116349
나쁜 놈이 더 잘 잔다,54711.60750450035
맨발의 꿈,2042775.025635782
요술,78125.04659617771
마법천자문: 대마왕의 부활을 막아라,331308.9532771452
인플루언스,31211.09709571374
미스터 좀비,103694.6673983653
김복남 살인사건의 전말,709560.190922783
엄지아빠,200200.56337398812
탈주,200094.04730073994
해결사,1530372.4917211928
할,110544.57444523694
된장,1288099.7400861147
조금만 더 가까이,333042.9890699296
우리 만난 적 있나요,140757.00648971493
쩨쩨한 로맨스,1898999.5963477283
용서,47129.23805290485
브라보! 재즈 라이프,360864.4541207155
카페 느와르,2142628.7344843945
오래된 인력거,55452.88130766635
창피해,457417.4919078661
"양 한 마리, 양 두 마리",86397.43058497015
하얀 정글,72090.68502559153
다슬이,73660.80234201734
REC 알이씨,41601.906580763025
량강도 아이들,316960.68291422044
티끌모아 로맨스,85435.94134346742
더 킥,202114.62131566257
커플즈,828813.8858241332
오늘,303085.1082197268
완득이,324136.2384385707
은어,91082.26279449141
고래를 찾는 자전거,70339.06812782204
도가니,1965588.9919213373
겨울냄새,65355.743367777846
환타스틱 모던가야그머,233168.64434258937
블라인드,638724.007302562
링크,274677.9821878574
퀵,1396453.760306753
모비딕,1002633.1137434144
굿바이 보이,581544.8528636215
종로의 기적,373221.7616950363
회초리,976346.6564023432
체포왕,1411037.0097090104
세상에서 가장 아름다운 이별,3384520.950446129
나는 아빠다,628743.8926654102
수상한 고객들,2237539.413203695
수상한 이웃들,338577.8607653723
돌아오는 길,44546.169860054244
