title,box_off_num
용서는 없다,3249841.770004775
아빠가 여자를 좋아해,910320.8399718262
하모니,1157724.5783649192
의형제,2181893.9647915605
평행 이론,877780.1628870841
회오리 바람,103948.10290792615
경계도시 2,124111.97543650094
이웃집 남자,110919.56051471052
아마존의 눈물 극장판,42868.22533837365
반가운 살인자,747937.3673322693
집 나온 남자들,632812.3337889048
베스트셀러,1772038.6457808383
작은 연못,1024442.3439613087
경,83122.02991653721
대한민국 1%,546813.3288984654
포화 속으로,2252059.003042223
나쁜 놈이 더 잘 잔다,30637.338303290853
맨발의 꿈,1988679.1321426327
요술,96565.03536728145
마법천자문: 대마왕의 부활을 막아라,341189.83531679213
인플루언스,44727.810144889016
미스터 좀비,148049.64665150756
김복남 살인사건의 전말,734580.8857288335
엄지아빠,154205.73978320195
탈주,170316.63618487248
해결사,1551553.9550722458
할,90150.58137703653
된장,1292281.1852440336
조금만 더 가까이,288306.2465546914
우리 만난 적 있나요,171985.82775904879
쩨쩨한 로맨스,1933166.6179326933
용서,59651.15958124993
브라보! 재즈 라이프,344259.20968180214
카페 느와르,1969113.984924815
오래된 인력거,49704.88394192821
창피해,431830.1889182859
"양 한 마리, 양 두 마리",84991.65846807689
하얀 정글,59991.49636526741
다슬이,71553.83515987068
REC 알이씨,49489.896341389904
량강도 아이들,272072.43933635356
티끌모아 로맨스,56673.394335255565
더 킥,219195.17542301948
커플즈,771612.6082413626
오늘,193117.58374213692
완득이,213288.67304787535
은어,100237.52739870167
고래를 찾는 자전거,91227.21966737136
도가니,1962636.0000140946
겨울냄새,30820.569874454686
환타스틱 모던가야그머,263183.1770998114
블라인드,630383.9667943867
링크,275773.3456038689
퀵,1325489.8312308823
모비딕,1008405.0432580907
굿바이 보이,488681.20617600187
종로의 기적,289771.6836679326
회초리,1068361.720522135
체포왕,1414077.402937959
세상에서 가장 아름다운 이별,3112251.575000885
나는 아빠다,578038.7067046092
수상한 고객들,2010626.7103235766
수상한 이웃들,341196.32439411513
돌아오는 길,73867.00877456459
우리 이웃의 범죄,57138.795650258675
엄마는 창녀다,48013.7600023335
위험한 상견례,1144355.1425330194
간증,135914.20138317565
"사랑한다, 사랑하지 않는다",350393.7788718082
"혜화, 동",299615.3844126653
글러브,3094474.5389772113
가문의 귀환,699843.9736538291
잔혹한 앵글의 로망스,75646.00428884398
나의 PS 파트너,1246762.7768063738
롤플레이,264247.83599253616
마티나,61850.41045420332
음치 클리닉,2258268.4225920695
남영동1985,213141.47299288787
돈 크라이 마미,160262.9944882244
반드시 크게 들을 것 2 : Wild Days,35180.40840027222
범죄소년,273381.29616513645
내가 살인범이다,2514971.687044083
터치,111235.80087436378
늑대소년,2364234.2932110596
맥코리아,51101.18877814581
용의자X,1333213.7228278469
하나안,121023.40744989998
투 올드 힙합 키드,79971.90263870284
한경직,59463.47244685083
미운오리새끼,218405.09870482748
황제펭귄 펭이와 솜이,58904.92352104824
두 개의 문,59469.707606010044
I AM,535946.2629432493
후궁 : 제왕의 첩,2146763.6846936382
"안녕, 하세요!",269832.88261895423
천국의 아이들,380021.2622497826
할머니는 일학년,90745.6712862792
두레소리,190662.2702672015
"봄, 눈",213199.42729335147
은교,952237.1576763202
간기남,1591130.8374606813
시체가 돌아왔다,1492290.1087724492
말하는 건축가,154186.1476957033
밀월도 가는 길,98963.40662428168
파파,567019.921769201
점박이:한반도의 공룡3D,170742.40940659758
댄싱퀸,3765786.1834744113
누구의 딸도 아닌 해원,50817.128662361385
신세계,4041634.2782783895
굿바이 홈런,60003.1590115524
불륜의 시대,40618.64456216813
남쪽으로 튀어,2044329.8564239077
좋은 친구들,1832054.6566814077
지슬 - 끝나지 않은 세월 2,190662.2702672015
누구나 제 명에 죽고 싶다,48294.997495205454
사이코메트리,736472.3481953469
환상속의 그대,212557.71049634967
몽타주,1702981.7386387535
"힘내세요, 병헌씨",223739.94289966975
꼭두각시,255197.60491634178
홀리,100975.89177395657
마이 라띠마,960605.5611251531
더 테러 라이브,1070070.430320868
슈퍼피쉬 - 끝없는 여정,45624.91126340125
콩가네,219237.54245392428
허풍,159949.95734625316
젊은 엄마,62354.84711678862
노라노,53513.03645979542
노브레싱,213092.11382062983
말하는 건축 시티:홀,477063.8249537723
댄서김의 은밀한 교수법,77057.92838080118
소원,490913.54992253555
고양이 소녀,51157.689446218414
롤플레이 2 : 동침,80293.91196836985
동창생,998397.2805114805
용의자,4923844.579872305
미녀전쟁,90429.30328225456
캐치미,743133.750630209
그 강아지 그 고양이,83097.07906048487
화려한 외출,32637.490057792304
오하이오 삿포로,43914.674304881184
마이 리틀 히어로,3372577.6797953853
박수건달,4144741.164755593
배꼽,114101.65015028886
나가요 미스콜,111597.45230274407
우아한 거짓말,1684209.0946014472
미스터 컴퍼니,54417.48805029262
우리별 일호와 얼룩소,178700.08366411203
찌라시: 위험한 소문,1729334.1499032057
조선미녀삼총사,526627.9990860313
만찬,1718070.4546138127
한 번도 안 해본 여자,112306.89464967846
살인자,175363.9600586709
  이것이 우리의 끝이다,300679.9887863409
그댄 나의 뱀파이어,39206.061489864565
황제를 위하여,1022675.4415859686
레디액션! 폭력영화,150506.5377212396
스퀴시랜드,182559.0808256798
우는 남자,2499174.9394481564
하이힐,2125789.121811413
도희야,96735.28370535879
표적,1362944.046963177
10분,135266.3606313823
메이크 유어 무브,764737.1348134042
카토 프로젝트,48816.02939673363
녀녀녀,120466.92038198907
방황하는 칼날,2243247.1456754305
바리새인,104093.24240958408
욕망의 독: 중독,141735.2759452181
설계,138121.54909300638
레쓰링,-26370.33427021596
원 컷 - 어느 친절한 살인자의 기록,166801.0131626642
픽업 아티스트,231741.8576750403
옹녀뎐,53793.70109533654
왓니껴,781115.6098875526
족구왕,198897.91799112145
내 연애의 기억,100992.88866980365
바세코의 아이들,52130.05039596785
명량,4632123.065091508
군도: 민란의 시대,3827719.7228512866
산타바바라,78998.10531515256
나는 야한 여자가 좋다,42110.29998728312
숙희,63633.429340122166
더 테너 리리코 스핀토,537649.4723306152
기술자들,1909866.8684711389
신화 라이브 3D 더 레전드 컨티뉴스,204789.07350152102
악사들,106990.65861556327
울언니,79574.62849429059
정사: 위험한 성적유희,143809.17474828873
레디액션 청춘,3195417.5436789547
"제자, 옥한흠",226501.05168095365
환상,57172.23368808611
위층여자,61640.27621088454
가자! 장미여관으로 3 - 방황,120816.66981720175
나는 야한 여자가 좋다 3,42110.29998728312
스물,2164892.549051274
그라운드의 이방인,394316.6635575014
살인의뢰,1615331.831940273
살인캠프,152303.0288370824
헬머니,701632.7446666288
조류인간,202368.94211618765
최강전사 미니특공대 : 새로운 악당의 습격,150633.48105497405
생각보다 맑은,124312.80277211855
고양이 장례식,261812.3903843463
설해,535201.3627038187
나의 절친 악당들,823750.5528285068
연평해전,2681064.4911665767
극비수사,257693.4569376959
성난 화가,169367.9336722682
은밀한 유혹,1071002.165650834
혜경궁 홍씨,671978.4414176556
무뢰한,1991918.1458404816
간신,5558304.649438472
연애의 맛,1110792.8898724697
잡식가족의 딜레마,167296.93983328424
플랑크 상수,58922.17903539953
장수상회,1329290.3826896236
파울볼,49272.50462049908
춘희막이,26691.600745960244
덫: 치명적인 유혹,438830.5024038333
션샤인 러브,543377.5754160996
사도,3476287.1574466266
돼지 같은 여자,77622.044961851
사랑이 이긴다,60634.5819201217
슈퍼레이서 엔지,1270559.0978927189
제 7기사단,277602.3725081168
고백,102605.56904924457
미쓰 와이프,3336375.870815685
위로공단,104115.88020687355
베테랑,3524472.4433326228
악인은 살아 있다,347799.3551580897
쓰리 썸머 나잇,822390.1155525302
마돈나,669731.3006214768
